Timestamp,Car_count
23-09-2020 00:00,2
23-09-2020 00:01,2
23-09-2020 00:02,2
23-09-2020 00:03,3
23-09-2020 00:04,3
23-09-2020 00:05,3
23-09-2020 00:06,3
23-09-2020 00:07,3
23-09-2020 00:08,5
23-09-2020 00:09,5
23-09-2020 00:10,5
23-09-2020 00:11,5
23-09-2020 00:12,5
23-09-2020 00:13,6
23-09-2020 00:14,7
23-09-2020 00:15,7
23-09-2020 00:16,7
23-09-2020 00:17,8
23-09-2020 00:18,8
23-09-2020 00:19,6
23-09-2020 00:20,6
23-09-2020 00:21,4
23-09-2020 00:22,4
23-09-2020 00:23,4
23-09-2020 00:24,4
23-09-2020 00:25,4
23-09-2020 00:26,5
23-09-2020 00:27,5
23-09-2020 00:28,3
23-09-2020 00:29,3
23-09-2020 00:30,3
23-09-2020 00:31,3
23-09-2020 00:32,2
23-09-2020 00:33,2
23-09-2020 00:34,2
23-09-2020 00:35,2
23-09-2020 00:36,5
23-09-2020 00:37,5
23-09-2020 00:38,5
23-09-2020 00:39,6
23-09-2020 00:40,6
23-09-2020 00:41,6
23-09-2020 00:42,7
23-09-2020 00:43,5
23-09-2020 00:44,5
23-09-2020 00:45,5
23-09-2020 00:46,5
23-09-2020 00:47,4
23-09-2020 00:48,4
23-09-2020 00:49,3
23-09-2020 00:50,3
23-09-2020 00:51,3
23-09-2020 00:52,3
23-09-2020 00:53,3
23-09-2020 00:54,6
23-09-2020 00:55,6
23-09-2020 00:56,6
23-09-2020 00:57,6
23-09-2020 00:58,6
23-09-2020 00:59,6
23-09-2020 01:00,2
23-09-2020 01:01,2
23-09-2020 01:02,2
23-09-2020 01:03,3
23-09-2020 01:04,3
23-09-2020 01:05,3
23-09-2020 01:06,3
23-09-2020 01:07,3
23-09-2020 01:08,5
23-09-2020 01:09,5
23-09-2020 01:10,5
23-09-2020 01:11,5
23-09-2020 01:12,5
23-09-2020 01:13,6
23-09-2020 01:14,7
23-09-2020 01:15,7
23-09-2020 01:16,7
23-09-2020 01:17,8
23-09-2020 01:18,8
23-09-2020 01:19,6
23-09-2020 01:20,6
23-09-2020 01:21,4
23-09-2020 01:22,4
23-09-2020 01:23,4
23-09-2020 01:24,4
23-09-2020 01:25,4
23-09-2020 01:26,5
23-09-2020 01:27,5
23-09-2020 01:28,3
23-09-2020 01:29,3
23-09-2020 01:30,3
23-09-2020 01:31,3
23-09-2020 01:32,2
23-09-2020 01:33,2
23-09-2020 01:34,2
23-09-2020 01:35,2
23-09-2020 01:36,5
23-09-2020 01:37,5
23-09-2020 01:38,5
23-09-2020 01:39,6
23-09-2020 01:40,6
23-09-2020 01:41,6
23-09-2020 01:42,7
23-09-2020 01:43,5
23-09-2020 01:44,5
23-09-2020 01:45,5
23-09-2020 01:46,5
23-09-2020 01:47,4
23-09-2020 01:48,4
23-09-2020 01:49,3
23-09-2020 01:50,3
23-09-2020 01:51,3
23-09-2020 01:52,3
23-09-2020 01:53,3
23-09-2020 01:54,6
23-09-2020 01:55,6
23-09-2020 01:56,6
23-09-2020 01:57,6
23-09-2020 01:58,6
23-09-2020 01:59,6
23-09-2020 02:00,2
23-09-2020 02:01,2
23-09-2020 02:02,2
23-09-2020 02:03,3
23-09-2020 02:04,3
23-09-2020 02:05,3
23-09-2020 02:06,3
23-09-2020 02:07,3
23-09-2020 02:08,5
23-09-2020 02:09,5
23-09-2020 02:10,5
23-09-2020 02:11,5
23-09-2020 02:12,5
23-09-2020 02:13,6
23-09-2020 02:14,7
23-09-2020 02:15,7
23-09-2020 02:16,7
23-09-2020 02:17,8
23-09-2020 02:18,8
23-09-2020 02:19,6
23-09-2020 02:20,6
23-09-2020 02:21,4
23-09-2020 02:22,4
23-09-2020 02:23,4
23-09-2020 02:24,4
23-09-2020 02:25,4
23-09-2020 02:26,5
23-09-2020 02:27,5
23-09-2020 02:28,3
23-09-2020 02:29,3
23-09-2020 02:30,3
23-09-2020 02:31,3
23-09-2020 02:32,2
23-09-2020 02:33,2
23-09-2020 02:34,2
23-09-2020 02:35,2
23-09-2020 02:36,5
23-09-2020 02:37,5
23-09-2020 02:38,5
23-09-2020 02:39,6
23-09-2020 02:40,6
23-09-2020 02:41,6
23-09-2020 02:42,7
23-09-2020 02:43,5
23-09-2020 02:44,5
23-09-2020 02:45,5
23-09-2020 02:46,5
23-09-2020 02:47,4
23-09-2020 02:48,4
23-09-2020 02:49,3
23-09-2020 02:50,3
23-09-2020 02:51,3
23-09-2020 02:52,3
23-09-2020 02:53,3
23-09-2020 02:54,6
23-09-2020 02:55,6
23-09-2020 02:56,6
23-09-2020 02:57,6
23-09-2020 02:58,6
23-09-2020 02:59,6
23-09-2020 03:00,2
23-09-2020 03:01,2
23-09-2020 03:02,2
23-09-2020 03:03,3
23-09-2020 03:04,3
23-09-2020 03:05,3
23-09-2020 03:06,3
23-09-2020 03:07,3
23-09-2020 03:08,5
23-09-2020 03:09,5
23-09-2020 03:10,5
23-09-2020 03:11,5
23-09-2020 03:12,5
23-09-2020 03:13,6
23-09-2020 03:14,7
23-09-2020 03:15,7
23-09-2020 03:16,7
23-09-2020 03:17,8
23-09-2020 03:18,8
23-09-2020 03:19,6
23-09-2020 03:20,6
23-09-2020 03:21,4
23-09-2020 03:22,4
23-09-2020 03:23,4
23-09-2020 03:24,4
23-09-2020 03:25,4
23-09-2020 03:26,5
23-09-2020 03:27,5
23-09-2020 03:28,3
23-09-2020 03:29,3
23-09-2020 03:30,3
23-09-2020 03:31,3
23-09-2020 03:32,2
23-09-2020 03:33,2
23-09-2020 03:34,2
23-09-2020 03:35,2
23-09-2020 03:36,5
23-09-2020 03:37,5
23-09-2020 03:38,5
23-09-2020 03:39,6
23-09-2020 03:40,6
23-09-2020 03:41,6
23-09-2020 03:42,7
23-09-2020 03:43,5
23-09-2020 03:44,5
23-09-2020 03:45,5
23-09-2020 03:46,5
23-09-2020 03:47,4
23-09-2020 03:48,4
23-09-2020 03:49,3
23-09-2020 03:50,3
23-09-2020 03:51,3
23-09-2020 03:52,3
23-09-2020 03:53,3
23-09-2020 03:54,6
23-09-2020 03:55,6
23-09-2020 03:56,6
23-09-2020 03:57,6
23-09-2020 03:58,6
23-09-2020 03:59,6
23-09-2020 04:00,2
23-09-2020 04:01,2
23-09-2020 04:02,2
23-09-2020 04:03,3
23-09-2020 04:04,3
23-09-2020 04:05,3
23-09-2020 04:06,3
23-09-2020 04:07,3
23-09-2020 04:08,5
23-09-2020 04:09,5
23-09-2020 04:10,5
23-09-2020 04:11,5
23-09-2020 04:12,5
23-09-2020 04:13,6
23-09-2020 04:14,7
23-09-2020 04:15,7
23-09-2020 04:16,7
23-09-2020 04:17,8
23-09-2020 04:18,8
23-09-2020 04:19,6
23-09-2020 04:20,6
23-09-2020 04:21,4
23-09-2020 04:22,4
23-09-2020 04:23,4
23-09-2020 04:24,4
23-09-2020 04:25,4
23-09-2020 04:26,5
23-09-2020 04:27,5
23-09-2020 04:28,3
23-09-2020 04:29,3
23-09-2020 04:30,3
23-09-2020 04:31,3
23-09-2020 04:32,2
23-09-2020 04:33,2
23-09-2020 04:34,2
23-09-2020 04:35,2
23-09-2020 04:36,5
23-09-2020 04:37,5
23-09-2020 04:38,5
23-09-2020 04:39,6
23-09-2020 04:40,6
23-09-2020 04:41,6
23-09-2020 04:42,7
23-09-2020 04:43,5
23-09-2020 04:44,5
23-09-2020 04:45,5
23-09-2020 04:46,5
23-09-2020 04:47,4
23-09-2020 04:48,4
23-09-2020 04:49,3
23-09-2020 04:50,3
23-09-2020 04:51,3
23-09-2020 04:52,3
23-09-2020 04:53,3
23-09-2020 04:54,6
23-09-2020 04:55,6
23-09-2020 04:56,6
23-09-2020 04:57,6
23-09-2020 04:58,6
23-09-2020 04:59,7
23-09-2020 05:00,7
23-09-2020 05:01,7
23-09-2020 05:02,7
23-09-2020 05:03,8
23-09-2020 05:04,8
23-09-2020 05:05,8
23-09-2020 05:06,9
23-09-2020 05:07,9
23-09-2020 05:08,10
23-09-2020 05:09,8
23-09-2020 05:10,9
23-09-2020 05:11,8
23-09-2020 05:12,7
23-09-2020 05:13,5
23-09-2020 05:14,9
23-09-2020 05:15,10
23-09-2020 05:16,6
23-09-2020 05:17,9
23-09-2020 05:18,8
23-09-2020 05:19,9
23-09-2020 05:20,5
23-09-2020 05:21,5
23-09-2020 05:22,10
23-09-2020 05:23,6
23-09-2020 05:24,8
23-09-2020 05:25,8
23-09-2020 05:26,7
23-09-2020 05:27,7
23-09-2020 05:28,9
23-09-2020 05:29,9
23-09-2020 05:30,8
23-09-2020 05:31,8
23-09-2020 05:32,9
23-09-2020 05:33,5
23-09-2020 05:34,8
23-09-2020 05:35,9
23-09-2020 05:36,5
23-09-2020 05:37,8
23-09-2020 05:38,5
23-09-2020 05:39,5
23-09-2020 05:40,9
23-09-2020 05:41,5
23-09-2020 05:42,10
23-09-2020 05:43,9
23-09-2020 05:44,10
23-09-2020 05:45,5
23-09-2020 05:46,9
23-09-2020 05:47,6
23-09-2020 05:48,9
23-09-2020 05:49,9
23-09-2020 05:50,8
23-09-2020 05:51,7
23-09-2020 05:52,9
23-09-2020 05:53,8
23-09-2020 05:54,5
23-09-2020 05:55,6
23-09-2020 05:56,9
23-09-2020 05:57,10
23-09-2020 05:58,8
23-09-2020 05:59,6
23-09-2020 06:00,8
23-09-2020 06:01,5
23-09-2020 06:02,5
23-09-2020 06:03,6
23-09-2020 06:04,8
23-09-2020 06:05,7
23-09-2020 06:06,5
23-09-2020 06:07,8
23-09-2020 06:08,9
23-09-2020 06:09,8
23-09-2020 06:10,10
23-09-2020 06:11,9
23-09-2020 06:12,8
23-09-2020 06:13,12
23-09-2020 06:14,8
23-09-2020 06:15,10
23-09-2020 06:16,9
23-09-2020 06:17,12
23-09-2020 06:18,9
23-09-2020 06:19,12
23-09-2020 06:20,12
23-09-2020 06:21,10
23-09-2020 06:22,12
23-09-2020 06:23,12
23-09-2020 06:24,10
23-09-2020 06:25,10
23-09-2020 06:26,9
23-09-2020 06:27,12
23-09-2020 06:28,11
23-09-2020 06:29,11
23-09-2020 06:30,8
23-09-2020 06:31,11
23-09-2020 06:32,10
23-09-2020 06:33,11
23-09-2020 06:34,12
23-09-2020 06:35,12
23-09-2020 06:36,8
23-09-2020 06:37,12
23-09-2020 06:38,11
23-09-2020 06:39,10
23-09-2020 06:40,10
23-09-2020 06:41,11
23-09-2020 06:42,8
23-09-2020 06:43,8
23-09-2020 06:44,8
23-09-2020 06:45,11
23-09-2020 06:46,9
23-09-2020 06:47,10
23-09-2020 06:48,11
23-09-2020 06:49,8
23-09-2020 06:50,8
23-09-2020 06:51,11
23-09-2020 06:52,12
23-09-2020 06:53,10
23-09-2020 06:54,9
23-09-2020 06:55,11
23-09-2020 06:56,10
23-09-2020 06:57,8
23-09-2020 06:58,10
23-09-2020 06:59,9
23-09-2020 07:00,12
23-09-2020 07:01,11
23-09-2020 07:02,10
23-09-2020 07:03,9
23-09-2020 07:04,8
23-09-2020 07:05,10
23-09-2020 07:06,8
23-09-2020 07:07,9
23-09-2020 07:08,12
23-09-2020 07:09,11
23-09-2020 07:10,12
23-09-2020 07:11,8
23-09-2020 07:12,10
23-09-2020 07:13,8
23-09-2020 07:14,11
23-09-2020 07:15,12
23-09-2020 07:16,9
23-09-2020 07:17,10
23-09-2020 07:18,10
23-09-2020 07:19,9
23-09-2020 07:20,8
23-09-2020 07:21,9
23-09-2020 07:22,9
23-09-2020 07:23,9
23-09-2020 07:24,9
23-09-2020 07:25,12
23-09-2020 07:26,11
23-09-2020 07:27,10
23-09-2020 07:28,9
23-09-2020 07:29,11
23-09-2020 07:30,8
23-09-2020 07:31,8
23-09-2020 07:32,12
23-09-2020 07:33,11
23-09-2020 07:34,12
23-09-2020 07:35,12
23-09-2020 07:36,10
23-09-2020 07:37,11
23-09-2020 07:38,11
23-09-2020 07:39,10
23-09-2020 07:40,9
23-09-2020 07:41,8
23-09-2020 07:42,11
23-09-2020 07:43,12
23-09-2020 07:44,12
23-09-2020 07:45,11
23-09-2020 07:46,12
23-09-2020 07:47,11
23-09-2020 07:48,9
23-09-2020 07:49,11
23-09-2020 07:50,8
23-09-2020 07:51,9
23-09-2020 07:52,12
23-09-2020 07:53,8
23-09-2020 07:54,12
23-09-2020 07:55,12
23-09-2020 07:56,9
23-09-2020 07:57,12
23-09-2020 07:58,11
23-09-2020 07:59,10
23-09-2020 08:00,18
23-09-2020 08:01,14
23-09-2020 08:02,14
23-09-2020 08:03,10
23-09-2020 08:04,15
23-09-2020 08:05,18
23-09-2020 08:06,18
23-09-2020 08:07,10
23-09-2020 08:08,18
23-09-2020 08:09,13
23-09-2020 08:10,14
23-09-2020 08:11,11
23-09-2020 08:12,10
23-09-2020 08:13,11
23-09-2020 08:14,14
23-09-2020 08:15,17
23-09-2020 08:16,17
23-09-2020 08:17,11
23-09-2020 08:18,10
23-09-2020 08:19,18
23-09-2020 08:20,13
23-09-2020 08:21,14
23-09-2020 08:22,12
23-09-2020 08:23,11
23-09-2020 08:24,17
23-09-2020 08:25,11
23-09-2020 08:26,13
23-09-2020 08:27,13
23-09-2020 08:28,14
23-09-2020 08:29,15
23-09-2020 08:30,13
23-09-2020 08:31,14
23-09-2020 08:32,14
23-09-2020 08:33,11
23-09-2020 08:34,15
23-09-2020 08:35,15
23-09-2020 08:36,17
23-09-2020 08:37,17
23-09-2020 08:38,12
23-09-2020 08:39,12
23-09-2020 08:40,12
23-09-2020 08:41,18
23-09-2020 08:42,16
23-09-2020 08:43,12
23-09-2020 08:44,18
23-09-2020 08:45,12
23-09-2020 08:46,18
23-09-2020 08:47,15
23-09-2020 08:48,17
23-09-2020 08:49,11
23-09-2020 08:50,16
23-09-2020 08:51,17
23-09-2020 08:52,16
23-09-2020 08:53,14
23-09-2020 08:54,13
23-09-2020 08:55,13
23-09-2020 08:56,11
23-09-2020 08:57,14
23-09-2020 08:58,12
23-09-2020 08:59,17
23-09-2020 09:00,10
23-09-2020 09:01,18
23-09-2020 09:02,17
23-09-2020 09:03,13
23-09-2020 09:04,13
23-09-2020 09:05,18
23-09-2020 09:06,17
23-09-2020 09:07,10
23-09-2020 09:08,11
23-09-2020 09:09,13
23-09-2020 09:10,18
23-09-2020 09:11,17
23-09-2020 09:12,18
23-09-2020 09:13,18
23-09-2020 09:14,10
23-09-2020 09:15,14
23-09-2020 09:16,13
23-09-2020 09:17,18
23-09-2020 09:18,10
23-09-2020 09:19,16
23-09-2020 09:20,14
